frame,mode,readback_ms,frame_ms
8179,DB_ON,5.7035,10.2347
8180,DB_ON,6.1805,11.5903
8181,DB_ON,6.0488,10.5398
8182,DB_ON,6.4607,12.0051
8183,DB_ON,5.6698,11.1915
8184,DB_ON,5.2302,10.5769
8185,DB_ON,5.899,10.5416
8186,DB_ON,6.0258,11.4174
8187,DB_ON,5.8742,10.5161
8188,DB_ON,6.0651,11.5456
8189,DB_ON,5.5728,10.1228
8190,DB_ON,6.2995,11.8169
8191,DB_ON,4.9316,10.2349
8192,DB_ON,5.4511,11.1171
8193,DB_ON,5.5023,10.6796
8194,DB_ON,6.0048,11.8738
8195,DB_ON,5.1214,9.7438
8196,DB_ON,6.2903,11.7305
8197,DB_ON,5.2649,10.2105
8198,DB_ON,5.164,10.5823
8199,DB_ON,5.5956,10.5072
8200,DB_ON,5.9333,11.8043
8201,DB_ON,4.3626,9.5055
8202,DB_ON,5.762,11.8409
8203,DB_ON,4.0748,9.0571
8204,DB_ON,5.4215,11.1102
8205,DB_ON,5.5373,10.6188
8206,DB_ON,5.5163,11.9551
8207,DB_ON,4.6867,10.6692
8208,DB_ON,4.8437,10.2829
8209,DB_ON,5.8001,10.5797
8210,DB_ON,5.7246,11.3428
8211,DB_ON,5.7277,10.3076
8212,DB_ON,6.0559,11.8137
8213,DB_ON,5.2548,10.5698
8214,DB_ON,5.7456,11.2219
8215,DB_ON,5.4736,10.1921
8216,DB_ON,5.639,11.2407
8217,DB_ON,5.4721,9.9969
8218,DB_ON,6.1332,12.0054
8219,DB_ON,5.1506,10.754
8220,DB_ON,5.2448,10.7498
8221,DB_ON,5.6007,10.2951
8222,DB_ON,5.9137,11.3806
8223,DB_ON,5.858,10.2377
8224,DB_ON,6.658,12.3438
8225,DB_ON,5.44,11.0293
8226,DB_ON,5.1211,10.4112
8227,DB_ON,5.9013,10.2976
8228,DB_ON,6.243,11.5846
8229,DB_ON,6.088,10.5827
8230,DB_ON,6.0783,11.5397
8231,DB_ON,5.7883,10.3751
8232,DB_ON,6.1323,11.3354
8233,DB_ON,5.9112,10.5143
8234,DB_ON,6.0259,11.3079
8235,DB_ON,5.9526,10.4219
8236,DB_ON,6.5581,11.5028
8237,DB_ON,5.8503,10.5698
8238,DB_ON,5.9097,11.2343
8239,DB_ON,5.9658,10.7105
8240,DB_ON,5.8022,11.8114
8241,DB_ON,4.9249,10.2
8242,DB_ON,6.1197,11.575
8243,DB_ON,4.9549,11.2036
8244,DB_ON,4.7397,9.8849
8245,DB_ON,6.2864,10.8627
8246,DB_ON,5.9729,11.3718
8247,DB_ON,5.7513,10.352
8248,DB_ON,6.472,11.9031
8249,DB_ON,5.4309,10.9181
8250,DB_ON,5.2261,10.3982
8251,DB_ON,6.0918,10.6817
8252,DB_ON,5.9827,11.8189
8253,DB_ON,5.4405,10.0278
8254,DB_ON,6.0141,11.8646
8255,DB_ON,4.4459,9.9797
8256,DB_ON,5.3387,10.443
8257,DB_ON,6.2122,10.8985
8258,DB_ON,5.8689,11.1509
8259,DB_ON,5.7787,10.287
8260,DB_ON,6.4562,11.9512
8261,DB_ON,5.4192,10.2187
8262,DB_ON,5.7662,11.1515
8263,DB_ON,5.9764,10.6268
8264,DB_ON,6.1418,11.7177
8265,DB_ON,5.0937,9.6641
8266,DB_ON,6.1304,12.1964
8267,DB_ON,4.8412,10.2165
8268,DB_ON,5.6111,11.2596
8269,DB_ON,5.2827,10.2437
8270,DB_ON,5.5014,11.1931
8271,DB_ON,5.5701,10.2216
8272,DB_ON,6.1397,11.8574
8273,DB_ON,5.3387,10.0014
8274,DB_ON,6.2768,11.9732
8275,DB_ON,5.2423,10.2069
8276,DB_ON,5.6756,11.1727
8277,DB_ON,5.3217,10.2352
8278,DB_ON,6.2599,12.2403
8279,DB_ON,4.8308,10.1944
8280,DB_ON,5.7822,11.442
8281,DB_ON,5.3626,10.4447
8282,DB_ON,5.5274,11.2141
8283,DB_ON,5.616,10.1923
8284,DB_ON,6.0611,12.1661
8285,DB_ON,4.8706,10.2996
8286,DB_ON,4.7269,10.8008
8287,DB_ON,5.468,10.0795
8288,DB_ON,6.3483,11.8751
8289,DB_ON,5.1108,9.9113
8290,DB_ON,6.1048,11.6496
8291,DB_ON,5.0327,10.5277
8292,DB_ON,5.0644,11.0336
8293,DB_ON,5.2312,9.922
8294,DB_ON,6.3629,11.9378
8295,DB_ON,5.1038,9.9367
8296,DB_ON,6.0808,11.7113
8297,DB_ON,5.6669,10.9417
8298,DB_ON,5.2288,11.1022
8299,DB_ON,5.3189,9.9516
8300,DB_ON,6.3286,11.7575
8301,DB_ON,5.4309,10.0888
8302,DB_ON,6.2457,11.7285
8303,DB_ON,5.209,11.1913
8304,DB_ON,4.8227,10.0362
8305,DB_ON,6.0989,10.7699
8306,DB_ON,6.1659,11.7709
8307,DB_ON,5.3547,10.1094
8308,DB_ON,6.215,11.6849
8309,DB_ON,5.3054,10.2309
8310,DB_ON,5.5653,11.3161
8311,DB_ON,5.3923,9.9964
8312,DB_ON,6.4328,11.9014
8313,DB_ON,5.2712,9.9268
